geoid20,countyfp20,namelsad20,statefp20,tractce20,intptlat20,name20,funcstat20,intptlon20,mtfcc20,aland20,awater20,objectid
25025081301,025,Census Tract,25,081301,+42.3186892,813.01,S,-071.0993402,G5020,235660,0,107
25025070301,025,Census Tract,25,070301,+42.3463240,703.01,S,-071.0716357,G5020,143331,0,108
25025981900,025,Census Tract,25,981900,+42.2783928,9819,S,-071.1790082,G5020,233864,106064,109
25025070102,025,Census Tract,25,070102,+42.3556883,701.02,S,-071.0617639,G5020,138976,0,110
25025070501,025,Census Tract,25,070501,+42.3431213,705.01,S,-071.0691593,G5020,122863,0,111
25025081102,025,Census Tract,25,081102,+42.3288046,811.02,S,-071.1059304,G5020,376868,0,112
25025000603,025,Census Tract,25,000603,+42.3476014,6.03,S,-071.1449263,G5020,312487,0,113
25025070202,025,Census Tract,25,070202,+42.3500656,702.02,S,-071.0619598,G5020,178542,0,114
25025000805,025,Census Tract,25,000805,+42.3539909,8.05,S,-071.1278821,G5020,369879,0,115
25025081302,025,Census Tract,25,081302,+42.3197631,813.02,S,-071.0965620,G5020,344681,0,116
25025110106,025,Census Tract,25,110106,+42.2924541,1101.06,S,-071.1165410,G5020,212664,0,117
25025070502,025,Census Tract,25,070502,+42.3411012,705.02,S,-071.0737001,G5020,174417,0,118
25025000101,025,Census Tract,25,000101,+42.3608778,1.01,S,-071.1330510,G5020,249924,0,119
25025110104,025,Census Tract,25,110104,+42.2934302,1101.04,S,-071.1208887,G5020,301939,0,120
25025980900,025,Census Tract,25,980900,+42.2853953,9809,S,-071.1801892,G5020,1677227,46975,121
25025000804,025,Census Tract,25,000804,+42.3586255,8.04,S,-071.1308995,G5020,607596,0,122
25025140201,025,Census Tract,25,140201,+42.2375297,1402.01,S,-071.1305801,G5020,1322336,99765,123
25025082100,025,Census Tract,25,082100,+42.3094485,821,S,-071.0872292,G5020,370577,0,124
25025050500,025,Census Tract,25,050500,+42.3708587,505,S,-071.0319250,G5020,272242,0,125
25025101101,025,Census Tract,25,101101,+42.2848807,1011.01,S,-071.0958793,G5020,587566,0,126
25025120600,025,Census Tract,25,120600,+42.3190999,1206,S,-071.1088366,G5020,257295,0,127
25025091700,025,Census Tract,25,091700,+42.3036084,917,S,-071.0659184,G5020,288865,0,128
25025030100,025,Census Tract,25,030100,+42.3669373,301,S,-071.0561403,G5020,77344,0,129
25025010600,025,Census Tract,25,010600,+42.3476422,106,S,-071.0793745,G5020,339678,0,130
25025120500,025,Census Tract,25,120500,+42.3206587,1205,S,-071.1042025,G5020,213706,0,131
25025070600,025,Census Tract,25,070600,+42.3432581,706,S,-071.0753887,G5020,133036,0,132
25025100603,025,Census Tract,25,100603,+42.2914125,1006.03,S,-071.0421575,G5020,872496,343682,133
25025010103,025,Census Tract,25,010103,+42.3498504,101.03,S,-071.1034992,G5020,288105,0,134
25025070402,025,Census Tract,25,070402,+42.3455432,704.02,S,-071.0651669,G5020,247190,0,135
25025140107,025,Census Tract,25,140107,+42.2577216,1401.07,S,-071.1284206,G5020,627360,0,136
25025981202,025,Census Tract,25,981202,+42.3470233,9812.02,S,-071.0257810,G5020,1696453,850180,137
25025051101,025,Census Tract,25,051101,+42.3854556,511.01,S,-071.0043188,G5020,1159397,622953,138
25025981600,025,Census Tract,25,981600,+42.3886205,9816,S,-070.9934424,G5020,586981,158777,139
25025090901,025,Census Tract,25,090901,+42.3171720,909.01,S,-071.0445630,G5020,1173210,349461,140
25025092101,025,Census Tract,25,092101,+42.2979499,921.01,S,-071.0541278,G5020,1306107,65874,141
25025110301,025,Census Tract,25,110301,+42.2868052,1103.01,S,-071.1132775,G5020,817931,0,142
25025981000,025,Census Tract,25,981000,+42.2988820,9810,S,-071.1267094,G5020,1134184,4752,143
25025980101,025,Census Tract,25,980101,+42.3265116,9801.01,S,-070.9390337,G5020,3270316,5392370,144
25025091001,025,Census Tract,25,091001,+42.3082205,910.01,S,-071.0517137,G5020,1186269,447567,145
25025040401,025,Census Tract,25,040401,+42.3740347,404.01,S,-071.0665218,G5020,433403,26534,146
25025080300,025,Census Tract,25,080300,+42.3274519,803,S,-071.0790504,G5020,268833,0,147
25025080401,025,Census Tract,25,080401,+42.3321176,804.01,S,-071.0808969,G5020,440308,0,148
25025080500,025,Census Tract,25,080500,+42.3356843,805,S,-071.0825085,G5020,244076,0,149
25025080801,025,Census Tract,25,080801,+42.3346063,808.01,S,-071.0962114,G5020,364890,0,150
25025080900,025,Census Tract,25,080900,+42.3323435,809,S,-071.1016923,G5020,256492,0,151
25025081200,025,Census Tract,25,081200,+42.3243654,812,S,-071.1037533,G5020,269261,0,152
25025081400,025,Census Tract,25,081400,+42.3277602,814,S,-071.0937549,G5020,620480,0,153
25025081500,025,Census Tract,25,081500,+42.3207186,815,S,-071.0929141,G5020,336293,0,154
25025081700,025,Census Tract,25,081700,+42.3226992,817,S,-071.0860337,G5020,633875,0,155
25025081800,025,Census Tract,25,081800,+42.3203184,818,S,-071.0800303,G5020,373922,0,156
25025081900,025,Census Tract,25,081900,+42.3154742,819,S,-071.0896520,G5020,433381,0,157
25025082000,025,Census Tract,25,082000,+42.3137479,820,S,-071.0839483,G5020,392156,0,158
25025090100,025,Census Tract,25,090100,+42.3023758,901,S,-071.0820195,G5020,446964,0,159
25025090200,025,Census Tract,25,090200,+42.3071378,902,S,-071.0790559,G5020,273671,0,160
25025090300,025,Census Tract,25,090300,+42.3109366,903,S,-071.0765050,G5020,380394,0,161
25025090400,025,Census Tract,25,090400,+42.3171635,904,S,-071.0747098,G5020,425139,0,162
25025090600,025,Census Tract,25,090600,+42.3229604,906,S,-071.0722753,G5020,301665,0,163
25025090700,025,Census Tract,25,090700,+42.3241150,907,S,-071.0600141,G5020,1073065,0,164
25025091100,025,Census Tract,25,091100,+42.3156248,911,S,-071.0556094,G5020,422042,0,165
25025091200,025,Census Tract,25,091200,+42.3163259,912,S,-071.0622198,G5020,323612,0,166
25025091400,025,Census Tract,25,091400,+42.3152689,914,S,-071.0698538,G5020,325020,0,167
25025091500,025,Census Tract,25,091500,+42.3114941,915,S,-071.0643707,G5020,404167,0,168
25025091600,025,Census Tract,25,091600,+42.3060353,916,S,-071.0611919,G5020,313158,0,169
25025091800,025,Census Tract,25,091800,+42.3073664,918,S,-071.0705167,G5020,432066,0,170
25025091900,025,Census Tract,25,091900,+42.3008408,919,S,-071.0755308,G5020,481983,0,171
25025092000,025,Census Tract,25,092000,+42.2996758,920,S,-071.0675668,G5020,489739,0,172
25025092200,025,Census Tract,25,092200,+42.2950131,922,S,-071.0661804,G5020,582526,0,173
25025092300,025,Census Tract,25,092300,+42.2939435,923,S,-071.0750607,G5020,342974,0,174
25025092400,025,Census Tract,25,092400,+42.2960408,924,S,-071.0849902,G5020,594486,0,175
25025100100,025,Census Tract,25,100100,+42.2902498,1001,S,-071.0873027,G5020,1036588,874,176
25025100200,025,Census Tract,25,100200,+42.2848003,1002,S,-071.0857223,G5020,350641,0,177
25025100300,025,Census Tract,25,100300,+42.2827979,1003,S,-071.0797972,G5020,491877,0,178
25025100400,025,Census Tract,25,100400,+42.2817867,1004,S,-071.0708444,G5020,626250,0,179
25025100500,025,Census Tract,25,100500,+42.2882316,1005,S,-071.0707467,G5020,857716,0,180
25025100601,025,Census Tract,25,100601,+42.2908491,1006.01,S,-071.0562794,G5020,552586,0,181
25025100800,025,Census Tract,25,100800,+42.2775008,1008,S,-071.0636843,G5020,1746759,172846,182
25025100900,025,Census Tract,25,100900,+42.2740065,1009,S,-071.0742308,G5020,953384,36272,183
25025101001,025,Census Tract,25,101001,+42.2721326,1010.01,S,-071.1017280,G5020,1302132,3948,184
25025101002,025,Census Tract,25,101002,+42.2740572,1010.02,S,-071.0853267,G5020,1164930,4637,185
25025101102,025,Census Tract,25,101102,+42.2787956,1011.02,S,-071.0920463,G5020,561192,0,186
25025110401,025,Census Tract,25,110401,+42.2864371,1104.01,S,-071.1225498,G5020,522960,0,187
25025110502,025,Census Tract,25,110502,+42.2829171,1105.02,S,-071.1326050,G5020,684300,0,188
25025110601,025,Census Tract,25,110601,+42.2982511,1106.01,S,-071.1399775,G5020,1406478,8282,189
25025120400,025,Census Tract,25,120400,+42.3139087,1204,S,-071.1116638,G5020,999846,0,190
25025120700,025,Census Tract,25,120700,+42.3243205,1207,S,-071.1109956,G5020,310598,0,191
25025130200,025,Census Tract,25,130200,+42.2873319,1302,S,-071.1570120,G5020,1352656,0,192
25025130300,025,Census Tract,25,130300,+42.2791297,1303,S,-071.1507116,G5020,1442464,0,193
25025130402,025,Census Tract,25,130402,+42.2719594,1304.02,S,-071.1668004,G5020,1863873,32105,194
25025140102,025,Census Tract,25,140102,+42.2446858,1401.02,S,-071.1426123,G5020,2087649,75460,195
25025070104,025,Census Tract,25,070104,+42.3523203,701.04,S,-071.0562868,G5020,761798,69922,196
25025061204,025,Census Tract,25,061204,+42.3457244,612.04,S,-071.0532683,G5020,412236,57818,197
25025060604,025,Census Tract,25,060604,+42.3507680,606.04,S,-071.0384635,G5020,416317,629367,198
25025070902,025,Census Tract,25,070902,+42.3388070,709.02,S,-071.0774493,G5020,110873,0,199
25025060602,025,Census Tract,25,060602,+42.3441304,606.02,S,-071.0461108,G5020,432113,0,200
25025060603,025,Census Tract,25,060603,+42.3477038,606.03,S,-071.0411470,G5020,398230,0,201
25025070802,025,Census Tract,25,070802,+42.3417055,708.02,S,-071.0802334,G5020,129953,0,202
25025061202,025,Census Tract,25,061202,+42.3387527,612.02,S,-071.0625085,G5020,380810,4897,203
25025070801,025,Census Tract,25,070801,+42.3399771,708.01,S,-071.0825322,G5020,61235,0,204
25025060601,025,Census Tract,25,060601,+42.3392514,606.01,S,-071.0489604,G5020,140332,0,205
25025070901,025,Census Tract,25,070901,+42.3377169,709.01,S,-071.0795662,G5020,57691,0,206
25025981501,025,Census Tract,25,981501,+42.3524288,9815.01,S,-071.0878101,G5020,897746,1203439,207
