INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
202071549,2647,,THREATS TO DO BODILY HARM,C6,200,0,2020-09-29 19:35:00,2020,9,Tuesday,19,,TICKNOR ST,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)"
202072405,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,0,2020-09-29 19:39:00,2020,9,Tuesday,19,,DRAPER ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202072156,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,763,0,2020-09-29 19:45:00,2020,9,Tuesday,19,,OAKLAND ST,42.3505740103239,-71.1579888466069,"(42.3505740103239, -71.1579888466069)"
202071559,3005,,SICK ASSIST,B3,444,0,2020-09-29 19:48:00,2020,9,Tuesday,19,,ESMOND ST,42.2986198823693,-71.0851100382665,"(42.2986198823693, -71.0851100382665)"
202071561,2007,,VIOLATION - RESTRAINING ORDER (NO ARREST),A15,53,0,2020-09-29 19:48:00,2020,9,Tuesday,19,,ESSEX ST,42.3794046780069,-71.0703252947404,"(42.3794046780069, -71.0703252947404)"
202071937,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,167,0,2020-09-29 20:00:00,2020,9,Tuesday,20,,EMERALD CT,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202071784,1107,,FRAUD - IMPERSONATION,A15,57,0,2020-09-29 20:15:00,2020,9,Tuesday,20,,CHESTNUT ST,42.3750665851544,-71.0591012580303,"(42.3750665851544, -71.0591012580303)"
202071560,616,,LARCENY THEFT OF BICYCLE,D4,130,0,2020-09-29 20:17:00,2020,9,Tuesday,20,,"DARTMOUTH ST & HUNTINGTON AVE
BOSTON  MA 02116
UNI",42.3492830258214,-71.0768989493116,"(42.3492830258214, -71.0768989493116)"
202071573,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B2,298,0,2020-09-29 20:20:00,2020,9,Tuesday,20,,WALNUT AVE,42.3214897593144,-71.0855455308748,"(42.3214897593144, -71.0855455308748)"
202071567,3503,,MISSING PERSON - NOT REPORTED - LOCATED,B3,455,0,2020-09-29 20:22:00,2020,9,Tuesday,20,,NORWELL ST,42.300277963449,-71.0788396186788,"(42.300277963449, -71.0788396186788)"
202071578,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,462,0,2020-09-29 20:26:00,2020,9,Tuesday,20,,"EVERTON ST & GENEVA AVE
DORCHESTER  MA 02121
UNITE",42.303994989093,-71.0720600124321,"(42.303994989093, -71.0720600124321)"
202071579,3112,,LANDLORD - TENANT,B3,466,0,2020-09-29 20:28:00,2020,9,Tuesday,20,,DEERING RD,42.2841402498202,-71.0930513790943,"(42.2841402498202, -71.0930513790943)"
202071595,724,,AUTO THEFT,D4,167,0,2020-09-29 20:30:00,2020,9,Tuesday,20,,BOYLSTON ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202071981,3115,,INVESTIGATE PERSON,E18,465,0,2020-09-29 20:30:00,2020,9,Tuesday,20,,CENTRAL AVE,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
202071564,3114,,INVESTIGATE PROPERTY,C11,355,0,2020-09-29 20:44:00,2020,9,Tuesday,20,,GIBSON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
